Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2001,2001,1000 persons,16260.932,X,International reliable sources,"UNDESA, Population Division â€“ World Population Prospects, the 2017 Revision"
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2002,2002,1000 persons,16765.117,X,International reliable sources,"UNDESA, Population Division â€“ World Population Prospects, the 2017 Revision"
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2003,2003,1000 persons,17279.141,X,International reliable sources,"UNDESA, Population Division â€“ World Population Prospects, the 2017 Revision"
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2004,2004,1000 persons,17802.997,X,International reliable sources,"UNDESA, Population Division â€“ World Population Prospects, the 2017 Revision"
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2005,2005,1000 persons,18336.724,X,International reliable sources,"UNDESA, Population Division â€“ World Population Prospects, the 2017 Revision"
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2006,2006,1000 persons,18880.269,X,International reliable sources,
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2007,2007,1000 persons,19433.53,X,International reliable sources,
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2008,2008,1000 persons,19996.473,X,International reliable sources,
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2009,2009,1000 persons,20569.117,X,International reliable sources,
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2010,2010,1000 persons,21151.64,X,International reliable sources,"UNDESA, Population Division â€“ World Population Prospects, the 2017 Revision"
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2011,2011,1000 persons,21743.967,X,International reliable sources,
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2012,2012,1000 persons,22346.645,X,International reliable sources,
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2013,2013,1000 persons,22961.255,X,International reliable sources,
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2014,2014,1000 persons,23589.888,X,International reliable sources,
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2015,2015,1000 persons,24234.088,X,International reliable sources,"UNDESA, Population Division â€“ World Population Prospects, the 2017 Revision"
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2016,2016,1000 persons,24894.37,X,International reliable sources,
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2017,2017,1000 persons,25570.512,X,International reliable sources,
OA,Annual population,129,Madagascar,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,26262.313,X,International reliable sources,